,Date,Principal,Interest,Total Payment,Running Balance,eirepayment,eirprincipal,eirinterest,eirrunningbalance,amortizedfee
0,2023-02-28,-396.2138973406857,-42.5,-430.3805640073524,-10200.0,3.0677053137285286,2.8241690724313164,0.3029353245404343,-10200.0,8.333333333333334
1,2023-03-28,-397.86478857960526,-40.84910876108048,-430.3805640073524,-9803.786102659315,6.948941740624975,6.423940734550732,0.6595513382252834,-9803.786102659315,8.333333333333334
2,2023-04-28,-399.52255853202024,-39.191338808665456,-430.3805640073524,-9405.92131407971,11.074232599379794,10.280217351560829,1.0084423836594234,-9405.92131407971,8.333333333333334
3,2023-05-28,-401.18723585923703,-37.526661481448706,-430.3805640073524,-9006.398755547689,15.472322351569346,14.422812635291667,1.3490957812148696,-9006.398755547689,8.333333333333334
4,2023-06-28,-402.85884934198384,-35.85504799870188,-430.3805640073524,-8605.211519688452,20.177075654501813,18.886804286821587,1.6809541986037326,-8605.211519688452,8.333333333333334
5,2023-07-28,-404.53742788090875,-34.176469459776946,-430.3805640073524,-8202.352670346467,25.228725891233204,23.71381222637557,2.003410125918432,-8202.352670346467,8.333333333333334
6,2023-08-28,-406.2230004970792,-32.49089684360649,-430.3805640073524,-7797.815242465558,30.675518266916605,28.95367986918886,2.315799510912689,-7797.815242465558,8.333333333333334
7,2023-09-28,-407.91559633248374,-30.798301008201996,-430.3805640073524,-7391.592241968479,36.57590366083829,34.666717786436664,2.6173944290250315,-7391.592241968479,8.333333333333334
8,2023-10-28,-409.6152446505357,-29.09865269014998,-430.3805640073524,-6983.676645635996,43.00151518365369,40.92674631560528,2.907394664453233,-6983.676645635996,8.333333333333334
9,2023-11-28,-411.3219748365796,-27.39192250410608,-430.3805640073524,-6574.06140098546,50.0412794022063,47.82529600177976,3.184918098132652,-6574.06140098546,8.333333333333334
10,2023-12-28,-413.0358163983987,-25.678080942287,-430.3805640073524,-6162.73942614888,57.807209418326764,55.477523690879096,3.4489898629952345,-6162.73942614888,8.333333333333334
11,2024-01-28,-414.7567989667254,-23.95709837396034,-430.3805640073524,-5749.7036097504815,66.44275386444485,64.03073514927684,3.6985303791277753,-5749.7036097504815,8.333333333333334
12,2024-02-28,-416.4849522957534,-22.228945044932317,-430.38056400735235,-5334.9468107837565,76.13514127648168,73.67698110555061,3.932342705406551,-5334.9468107837565,8.333333333333334
13,2024-03-28,-418.2203062636524,-20.493591077033344,-430.3805640073524,-4918.461858488003,87.13417415555321,84.67222743995322,4.149100315664833,-4918.461858488003,8.333333333333334
14,2024-04-28,-419.96289087308423,-18.751006467601457,-430.38056400735235,-4500.24155222435,99.78182684648164,97.3665354886474,4.3473377680584635,-4500.24155222435,8.333333333333334
15,2024-05-28,-421.7127362517221,-17.001161088963606,-430.3805640073524,-4080.278661351266,114.5607348170934,112.25349141440098,4.525449497441,-4080.278661351266,8.333333333333334
16,2024-06-28,-423.46987265277096,-15.244024687914765,-430.3805640073524,-3658.5659250995436,132.17742643903054,130.05503180843232,4.681707587025694,-3658.5659250995436,8.333333333333334
17,2024-07-28,-425.2343304554908,-13.479566885194886,-430.3805640073524,-3235.096052446773,153.71340671458785,151.87539366948192,4.814320906287615,-3235.096052446773,8.333333333333334
18,2024-08-28,-427.00614016572206,-11.707757174963675,-430.3805640073524,-2809.861721991282,180.91877038241762,179.50026624158832,4.921581523821253,-2809.861721991282,8.333333333333334
19,2024-09-28,-428.78533241641253,-9.928564924273166,-430.3805640073524,-2382.85558182556,216.83350788861668,216.02980137701798,5.002190481801707,-2382.85558182556,8.333333333333334
20,2024-10-28,-430.5719379681476,-8.141959372538114,-430.3805640073524,-1954.0702494091474,267.2544956888497,267.3733336561224,5.0559328835992785,-1954.0702494091474,8.333333333333334
21,2024-11-28,-432.3659877096816,-6.347909631004166,-430.3805640073524,-1523.4983114409997,344.7519062489255,346.34230940216383,5.084927454919207,-1523.4983114409997,8.333333333333334
22,2024-12-28,-434.1675126584719,-4.546384682213826,-430.3805640073524,-1091.1323237313181,482.3413793926541,486.5855348885768,5.095279950493274,-1091.1323237313181,8.333333333333334
23,2025-01-28,-435.9765439612155,-2.7373533794701927,-430.38056400735235,-656.9648110728463,801.3431058300414,811.7624888863701,5.096789777015885,-656.9648110728463,8.333333333333334
